path,line,kind,owner,name,type,modifiers,scope
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","16","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","isSignedIn","(java.util.UUID)boolean","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","16","PARAMETER","isSignedIn(java.util.UUID)","playerUuid","java.util.UUID","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","17","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","signedInPlayers","()java.util.Set<java.util.UUID>","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","18","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","clear","()void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","19","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","forget","(java.util.UUID)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","19","PARAMETER","forget(java.util.UUID)","playerUuid","java.util.UUID","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","submit","(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)net.minecraft.network.chat.Component","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","client","xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","player","net.minecraft.server.level.ServerPlayer","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","mode","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","accountId","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","email","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","password","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","verificationCode","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","20","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)","emailEnabled","boolean","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","23","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","signOut","(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","23","PARAMETER","signOut(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer)","client","xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","23","PARAMETER","signOut(xiaocaoawa.minecraft.mod.cobblebattle.net.BattleServerClient,net.minecraft.server.level.ServerPlayer)","player","net.minecraft.server.level.ServerPlayer","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","24","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","onAccountCodeOk","(com.google.gson.JsonObject)java.util.UUID","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","24","PARAMETER","onAccountCodeOk(com.google.gson.JsonObject)","message","com.google.gson.JsonObject","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","25","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","onAccountOk","(com.google.gson.JsonObject)xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","25","PARAMETER","onAccountOk(com.google.gson.JsonObject)","message","com.google.gson.JsonObject","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","26","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","onAccountError","(com.google.gson.JsonObject)java.util.UUID","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","26","PARAMETER","onAccountError(com.google.gson.JsonObject)","message","com.google.gson.JsonObject","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","27","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","isAwaiting","(com.google.gson.JsonObject)boolean","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","27","PARAMETER","isAwaiting(com.google.gson.JsonObject)","message","com.google.gson.JsonObject","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","RECORD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","Outcome","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","[public, static, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","CONSTRUCTOR","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","<init>","(java.util.UUID,java.lang.String,java.lang.String,long,boolean)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","PARAMETER","Outcome(java.util.UUID,java.lang.String,java.lang.String,long,boolean)","playerUuid","java.util.UUID","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","PARAMETER","Outcome(java.util.UUID,java.lang.String,java.lang.String,long,boolean)","accountId","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","PARAMETER","Outcome(java.util.UUID,java.lang.String,java.lang.String,long,boolean)","nickname","java.lang.String","[]","内部符号待审查"
