path,line,kind,owner,old_name,new_name,status
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","29","PARAMETER","battleEnded(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","29","PARAMETER","battleEnded(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","battle","battle","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","29","PARAMETER","battleEnded(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","outcome","outcome","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","29","PARAMETER","battleEnded(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","reason","reason","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","29","PARAMETER","battleEnded(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","score","score","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","37","PARAMETER","queueJoined(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,int)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","37","PARAMETER","queueJoined(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,int)","rankedId","rankedId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","37","PARAMETER","queueJoined(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,int)","rankedName","rankedName","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","37","PARAMETER","queueJoined(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,int)","waiting","waiting","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","44","PARAMETER","queueLeft(net.minecraft.server.level.ServerPlayer,java.lang.String)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","44","PARAMETER","queueLeft(net.minecraft.server.level.ServerPlayer,java.lang.String)","reason","reason","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","accountId","accountId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","nickname","displayLabel","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","uid","accountNumber","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","registered","registered","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","accountId","accountId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","nickname","displayLabel","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","uid","accountNumber","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","62","PARAMETER","spectateStarted(net.minecraft.server.level.ServerPlayer,java.lang.String)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","62","PARAMETER","spectateStarted(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","battleId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","69","PARAMETER","spectateEnded(net.minecraft.server.level.ServerPlayer,java.lang.String)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","69","PARAMETER","spectateEnded(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","battleId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.ApiEvents","fire","fire","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","event","event","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","invoke","invoke","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","78","EXCEPTION_PARAMETER","fire(java.lang.String,java.lang.Runnable)","var3","failure","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","29","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","service","service","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","30","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","queued","waitingTeams","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","31","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","refOwners","refOwners","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","32","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","lookupRefs","lookupRefs","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","34","PARAMETER","BattleQueue(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","service","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","38","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","contains","contains","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","38","PARAMETER","contains(java.util.UUID)","playerUuid","participantUuid","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","42","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","claim","claim","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","42","PARAMETER","claim(java.util.UUID)","playerUuid","participantUuid","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","46","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","drop","drop","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","46","PARAMETER","drop(java.util.UUID)","playerUuid","participantUuid","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","50","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","clear","clear","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","56","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","claimLookupRef","claimLookupRef","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","56","PARAMETER","claimLookupRef(com.google.gson.JsonElement)","ref","ref","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","60","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","claimRefOwner","claimRefOwner","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","60","PARAMETER","claimRefOwner(com.google.gson.JsonElement)","ref","ref","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","64","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","prepare","prepare","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","64","PARAMETER","prepare(net.minecraft.server.level.ServerPlayer)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","68","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","prepare","prepare","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","68","PARAMETER","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","68","PARAMETER","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","dexAuthority","dexAuthority","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","68","PARAMETER","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","legality","legality","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","69","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","dex","dex","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","82","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","party","party","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","83","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","team","roster","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","87","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","plain","plain","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","88","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","rejections","violations","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","90","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","i","i","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","91","LOCAL_VARIABLE","prepare(net.minecraft.server.level.ServerPlayer,boolean,boolean)","pokemon","creature","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","107","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","slotsOf","slotsOf","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","107","PARAMETER","slotsOf(java.lang.String)","battleType","battleType","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","108","LOCAL_VARIABLE","slotsOf(java.lang.String)","var1","var1","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","117","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","tooFewFor","tooFewFor","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","117","PARAMETER","tooFewFor(java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,java.lang.String)","team","roster","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","117","PARAMETER","tooFewFor(java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,java.lang.String)","battleType","battleType","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","119","LOCAL_VARIABLE","tooFewFor(java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,java.lang.String)","slots","slots","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","128","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","join","join","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","128","PARAMETER","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","128","PARAMETER","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","rankedId","rankedId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","129","LOCAL_VARIABLE","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","prepared","preparedTeam","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","132","EXCEPTION_PARAMETER","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","var6","failure","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","136","LOCAL_VARIABLE","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","competition","competition","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","138","LOCAL_VARIABLE","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","tooFew","tooFew","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","144","LOCAL_VARIABLE","join(net.minecraft.server.level.ServerPlayer,java.lang.String)","join","join","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","149","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","createRoom","createRoom","待命名"
