"path","line","kind","owner","name","status"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","registered","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","accountId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","62","PARAMETER","spectateStarted(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","69","PARAMETER","spectateEnded(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.ApiEvents","fire","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","event","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","invoke","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","9","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles","INDEX","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","11","PARAMETER","injecting(java.lang.Runnable)","write","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","12","PARAMETER","setChoiceRelay(java.util.function.Consumer<xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles.ChoiceRelay>)","relay","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","13","PARAMETER","setOutputRelay(java.util.function.Consumer<xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles.ChoiceRelay>)","relay","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","14","PARAMETER","beginConstruction(xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle)","mirror","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","16","PARAMETER","claimStart(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","17","PARAMETER","isMirror(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","18","PARAMETER","get(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","19","PARAMETER","localIdFor(java.lang.String)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","20","PARAMETER","byRemoteId(java.lang.String)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","21","PARAMETER","relayChoices(java.util.UUID,java.lang.String[])","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","21","PARAMETER","relayChoices(java.util.UUID,java.lang.String[])","messages","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","22","PARAMETER","captureOutput(java.util.UUID,java.lang.String)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","23","PARAMETER","forget(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","11","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.EntityBackedRemoteBattleActor","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","12","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.EntityBackedRemoteBattleActor","initialPos","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","displayName","待重构"
